game_id,client_name,client_score,total_questions,total_clients
0,0,0,0,0
1,BOTalEclipse,1,1,3
1,Shir,0,1,3
1,BOTanyBay,0,1,3
2,BOTyosiyos,3,4,3
2,Shir,0,4,3
2,BOTdacious,2,4,3
3,Shir,4,6,2
3,BOTterThanYou,3,6,2
4,Shir,1,1,3
4,BOTamatic,0,1,3
4,Eran,0,1,3
20,Shir,1,1,4
20,BOTanicGarden,0,1,4
20,BOTburger,0,1,4
20,BOTterThanYou,0,1,4
21,Shir,2,2,4
21,BOTfuPanda,0,2,4
21,BOTburger,0,2,4
21,BOTanical,1,2,4
22,Shir,2,2,4
22,BOTtropolis,0,2,4
22,BOTmageddon,0,2,4
22,BOTleyFool,1,2,4
23,BOTaciousD,1,2,2
23,Shir,0,2,2
24,BOTonTheRocks,1,4,2
24,Shir,0,4,2
25,BOTamatic,1,1,2
25,Shir,0,1,2
26,Eran,3,3,4
26,BOTWaveCitrus,1,3,4
26,BOTanical,1,3,4
26,BOTaciousD,2,3,4
27,Yossi,4,4,2
27,BOTterThanYou,3,4,2
28,Yossi,2,2,2
28,BOTaHolic,1,2,2
29,BOTleyCrew,1,1,2
29,Yossi,0,1,2
30,BOTtitude,2,2,2
30,Yossi,1,2,2
31,BOTastic,1,1,4
31,Yossi,0,1,4
31,BOTzilla,0,1,4
31,BOTanist,0,1,4
32,BOTKokakakavka,1,2,2
32,Yossi,0,2,2
